PostalCode,Province,District,SubDistrict,AddressCode
13130,พระนครศรีอยุธยา,ท่าเรือ,ปากท่า,140208
13130,พระนครศรีอยุธยา,ท่าเรือ,หนองขนาก,140209
13130,พระนครศรีอยุธยา,ท่าเรือ,ท่าเจ้าสนุก,140210
13260,พระนครศรีอยุธยา,นครหลวง,นครหลวง,140301
13260,พระนครศรีอยุธยา,นครหลวง,ท่าช้าง,140302
13260,พระนครศรีอยุธยา,นครหลวง,บ่อโพง,140303
13260,พระนครศรีอยุธยา,นครหลวง,บ้านชุ้ง,140304
13260,พระนครศรีอยุธยา,นครหลวง,ปากจั่น,140305
13260,พระนครศรีอยุธยา,นครหลวง,บางระกำ,140306
13260,พระนครศรีอยุธยา,นครหลวง,บางพระครู,140307
13260,พระนครศรีอยุธยา,นครหลวง,แม่ลา,140308
13260,พระนครศรีอยุธยา,นครหลวง,หนองปลิง,140309
13260,พระนครศรีอยุธยา,นครหลวง,คลองสะแก,140310
13260,พระนครศรีอยุธยา,นครหลวง,สามไถ,140311
13260,พระนครศรีอยุธยา,นครหลวง,พระนอน,140312
13190,พระนครศรีอยุธยา,บางไทร,บางไทร,140401
13190,พระนครศรีอยุธยา,บางไทร,บางพลี,140402
13190,พระนครศรีอยุธยา,บางไทร,สนามชัย,140403
13190,พระนครศรีอยุธยา,บางไทร,บ้านแป้ง,140404
13190,พระนครศรีอยุธยา,บางไทร,หน้าไม้,140405
